CountryName,Year,SuicideRate,GDP_PerCapita
Bahrain,2020,5.9,22619.11667
Bangladesh,2020,5.9,1401.620628
Barbados,2020,0.8,15847.14272
Belarus,2020,26.2,5022.626643
Belgium,2020,20.7,41449.09736
Belize,2020,4.7,4904.034338
Benin,2020,9.9,788.5491965
Bhutan,2020,11.4,3012.961401
Bosnia and Herzegovina,2020,8.8,4994.68314
Botswana,2020,9.3,7243.856017
Brazil,2020,6.5,8712.887044
Brunei Darussalam,2020,4.6,27157.34623
Bulgaria,2020,11.5,7469.455638
Burkina Faso,2020,7.7,583.8326203
Burundi,2020,9.1,282.1496815
Cabo Verde,2020,11.3,3130.963385
Cambodia,2020,5.3,1269.591257
Cameroon,2020,12.2,1363.403851
Canada,2020,12.5,42279.90082
Central African Republic,2020,7.7,406.5319611
Chad,2020,8.8,692.9785958
Chile,2020,10.6,13748.0884
China,2020,9.7,8078.790474
Colombia,2020,7.2,5871.223524
Comoros,2020,6.8,1287.420965
Costa Rica,2020,7.9,11666.45661
Croatia,2020,16.5,12366.82154
Cuba,2020,13.9,8060.795886
Cyprus,2020,5.3,24019.13787
Denmark,2020,12.8,54467.10452
Djibouti,2020,6.7,1898.87599
Dominican Republic,2020,9.9,6957.564507
Ecuador,2020,7.1,6060.093329
El Salvador,2020,13.7,3800.122181
Equatorial Guinea,2020,16.4,9244.051798
Estonia,2020,17.8,18228.05825
Eswatini,2020,13.3,3426.826597
Ethiopia,2020,7.2,716.8800387
Fiji,2020,5,5647.347365
Finland,2020,15.9,43493.41934
France,2020,17.7,36962.22229
Gabon,2020,7.1,6979.709196
Georgia,2020,8.2,3857.281728
Germany,2020,13.6,42443.46507
Ghana,2020,5.4,1931.38947
Greece,2020,5,18116.45962
Grenada,2020,1.7,9628.347487
Guatemala,2020,2.7,4140.590064
Guinea,2020,6.3,733.0207588
Guinea-Bissau,2020,4,661.0076549
Guyana,2020,29.2,4542.622067
Haiti,2020,11.7,735.7551202
Honduras,2020,2.9,2326.297027
Hungary,2020,19.1,12839.58454
Iceland,2020,14,61757.94931
India,2020,16.3,1729.268021
Indonesia,2020,3.4,3562.845756
Iraq,2020,3,4649.468115
Ireland,2020,11.5,63197.08237
Israel,2020,5.4,37371.62691
Italy,2020,8.2,30830.92266
Jamaica,2020,2.2,4842.045011
Japan,2020,18.5,38794.33094
